display_name,segment_id_2024,base_id_2025,location_2024,location_2025,directions_2024,directions_2025,direction_display,pct_change_2024_2025,midweek_avg_daily_volume_2024,midweek_avg_daily_volume_2025,match_type,volume_comparability,needs_review,segment_id_2025,latitude,longitude,latitude_2024,longitude_2024,latitude_2025,longitude_2025,distance_m_2024_2025,text_score_2024_2025,match_tier_2024_2025,strict_reject_reason,direction_count,days_2024,days_2025,hours_2024,hours_2025,records_2024,records_2025,segment_id_2023,location_2023,latitude_2023,longitude_2023,distance_m_2023_2024,text_score_2023_2024,match_tier_2023_2024,directions_2023,midweek_avg_daily_volume_2023,pct_change_2023_2024,pct_change_2023_2025,days_2023,hours_2023,records_2023
West 62nd St between Amsterdam Ave and Columbus Ave — EB,13P1,771430,4_ATR_West 62nd St EB between Amsterdam Ave and Columbus Ave,WEST 62 STREET between Columbus Avenue and Amsterdam Avenue,EB,EB,EB,-11.12,3436.0,3054.0,direction_split,direction_exact,TRUE,34384,40.771826,-73.985124,40.771778,-73.985,40.771873,-73.985247,23.3,94.7,direction_split_text_and_distance,direction_set_mismatch,1,6,6,24,24,576,576,,,,,,,,,,,,,,
West 62nd St between Amsterdam Ave and Columbus Ave — WB,13P1,771431,4_ATR_West 62nd St EB between Amsterdam Ave and Columbus Ave,WEST 62 STREET between Columbus Avenue and Amsterdam Avenue,WB,WB,WB,16.55,1843.83,2149.0,direction_split,direction_exact,TRUE,34384,40.771826,-73.985124,40.771778,-73.985,40.771873,-73.985247,23.3,94.7,direction_split_text_and_distance,direction_set_mismatch,1,6,6,24,24,576,576,,,,,,,,,,,,,,
65th Street between 5th Ave and CPW — WB,14P4,771433,14_ATR_65th Street Between  5th Ave and CPW,65 ST TRANSVERSE between Center Drive and West Drive,WB,WB,WB,-11.76,12875.33,11361.67,direction_split,partner_full_value_override,TRUE,36038,40.770123,-73.975115,40.769984,-73.974884,40.770262,-73.975346,49.7,51.1,direction_split_partner_full_value,partner_full_value_override,1,6,6,24,24,576,576,,,,,,,,,,,,,,
65th Street between 5th Ave and CPW — EB,15P4,771432,15_ATR_65th Street Between 5th Ave and CPW,65 ST TRANSVERSE between Center Drive and West Drive,EB,EB,EB,-2.76,13360.5,12992.17,direction_split,partner_full_value_override,TRUE,36038,40.770123,-73.975115,40.769984,-73.974884,40.770262,-73.975346,49.7,51.1,direction_split_partner_full_value,partner_full_value_override,1,6,6,24,24,576,576,,,,,,,,,,,,,,
Major Deegan Depot Place — SB,1P2,771440,7_ATR_Major Deegan Depot Place_NB,MAJOR DEEGAN EXPRESSWAY between High Bridge and Major Deegan Expwy Et 7 N Sb,SB,SB,SB,-7.1,44991.83,41798.17,direction_split,direction_exact,TRUE,154477,40.842416,-73.928092,40.842356,-73.928025,40.842476,-73.928159,17.4,71.4,direction_split_text_and_distance,direction_set_mismatch,1,6,6,24,24,576,576,,,,,,,,,,,,,,
Major Deegan Depot Place — NB,1P2,771441,7_ATR_Major Deegan Depot Place_NB,MAJOR DEEGAN EXPRESSWAY between High Bridge and Major Deegan Expwy Et 7 N Sb,NB,NB,NB,-1.34,47446.83,46812.0,direction_split,direction_exact,TRUE,139020,40.842404,-73.928009,40.842356,-73.928025,40.842452,-73.927994,11.0,61.5,direction_split_text_and_distance,direction_set_mismatch,1,6,6,24,24,576,576,,,,,,,,,,,,,,
79th Street at Riverside Drive — WB → SB,22P3A3B,771437,33_ATR_79th Street EB at Riverside Drive,WEST 79 STREET between Henry Hudson Pkwy Nb Et 10 A and Henry Hudson Parkway Et 10 Nb,WB,SB,WB → SB,658.56,8825.67,66947.67,direction_split,direction_methodology_mismatch,TRUE,34537,40.785057,-73.982837,40.785022,-73.982751,40.785092,-73.982923,16.5,45.2,direction_methodology_close_distance,direction_methodology_mismatch,1,6,6,24,24,576,576,,,,,,,,,,,,,,
79th Street at Riverside Drive — EB,22P3A3B,771451,33_ATR_79th Street EB at Riverside Drive,WEST 79 STREET between Henry Hudson Pkwy Nb Et 10 A and Henry Hudson Parkway Et 10 Nb,EB,EB,EB,-6.3,11254.83,10545.83,direction_split,direction_exact,TRUE,34537,40.785057,-73.982837,40.785022,-73.982751,40.785092,-73.982923,16.5,41.9,direction_split_close_distance,direction_set_mismatch,1,6,6,24,24,576,576,,,,,,,,,,,,,,
FDR Dr On Ramp at 63rd Street — EB → NB,23P3A3B,771435,34_ATR_FDR Dr on Ramp at 63rd Street,FDR DRIVE EXIT 12 NORTHBOUND between Dead End and East 61 Street,EB,NB,EB → NB,-16.34,14923.33,12484.83,direction_split,direction_methodology_mismatch,TRUE,36524,40.759541,-73.958198,40.759651,-73.958112,40.75943,-73.958285,28.5,52.9,direction_methodology_close_distance,direction_methodology_mismatch,1,6,6,24,24,576,576,,,,,,,,,,,,,,
Columbia Street between Rivington St and E Houston St — NB,26P2,771410,9_ATR_Columbia Street NB between Rivington St and E Houston St,COLUMBIA STREET between Dead End and Dead end,NB,NB,NB,-16.73,2602.5,2167.17,direction_split,direction_exact,TRUE,9003125,40.718281,-73.979619,40.718232,-73.979651,40.71833,-73.979588,12.2,71.0,direction_split_text_and_distance,direction_set_mismatch,1,6,6,24,24,576,576,,,,,,,,,,,,,,
