SegmentId,Direction,street,fromSt,toSt,2024,2025,perc_change,base_id_2025,match_status,nearest_segment_id_2024,nearest_location_2024,nearest_directions_2024,distance_m,text_score,strict_reject_reason,recommendation
34537,EB,WEST 79 STREET,Henry Hudson Pkwy Nb Et 10 A,Henry Hudson Parkway Et 10 Nb,20080.5,77493.5,2.859141954,771437.0,unmatched,22P3A3B,79th st at riverside dr,EB;WB,16.5,38.2,direction_set_mismatch,manual_review_direction_split
34537,SB,WEST 79 STREET,Henry Hudson Pkwy Nb Et 10 A,Henry Hudson Parkway Et 10 Nb,20080.5,77493.5,2.859141954,771437.0,unmatched,22P3A3B,79th st at riverside dr,EB;WB,16.5,38.2,direction_set_mismatch,manual_review_direction_methodology
158990,SB,11 AVENUE,Bike Path,Bike Path,24971.83333,38675.5,0.548764942,,partner_row_not_in_2025_midweek_base,,,,,,,
142905,SB,12 AVENUE,West 24 Street,Bike Path,21551.33333,31906.16667,0.480472979,771419.0,unmatched,8P3A3B,9a w 24th st and w 26th st,NB,16.7,22.2,direction_count_mismatch,manual_review
142883,SB,12 AVENUE,West 41 Street,West 42 Street,26964.83333,37593.5,0.394167712,771428.0,matched,37P4,9a between w 41st st and w 42nd st,SB,1.9,82.8,,already_matched
159241,NB,12 AVENUE,West 24 Street,West 26 Street,25932.16667,34932.66667,0.347078596,,partner_row_not_in_2025_midweek_base,,,,,,,
158825,EB,WEST HOUSTON STREET,Wooster Street,West Broadway,9138.5,11664.66667,0.276431216,,partner_row_not_in_2025_midweek_base,,,,,,,
9006468,SB,ALLEN STREET,Dead End,East Houston Street,4805.0,3543.333333,-0.262573708,771408.0,matched,29P2,1 ave between e houston st and stanton st,NB;SB,16.0,77.9,,already_matched
159039,WB,WEST HOUSTON STREET,Pedestrian Path,La Guardia Place,14753.16667,18232.83333,0.235858968,771406.0,matched,2A8;53P4,w houston st between w broadway and wooster st,EB;WB,10.3,100.0,,already_matched
152673,NB,12 AVENUE,West 42 Street,West 43 Street,34940.66667,43175.16667,0.235670947,771429.0,matched,4P3A3B,9a w 42nd st between w 42nd st and w 43rd st,NB,55.2,82.8,,already_matched
143052,WB,LONG ISLAND EXPWY ET 15 WB,Dead End,Borden Avenue,20866.33333,25302.66667,0.21260723,771449.0,unmatched,48P2,exit from lie lie,WB,11.7,17.6,text_too_low,manual_review_direction_split
143221,NB,11 AVENUE,10 Avenue,West 15 Street,23744.83333,28129.16667,0.184643677,771416.0,unmatched,15P3A3B;32P4,9a at 14th st,NB;SB,10.2,31.6,text_too_low,manual_review_direction_split
16446,EB,FERRY TERMINAL DRIVE,Dead End,Staten Island Railway Line,3180.666667,3759.833333,0.182089709,,partner_row_not_in_2025_midweek_base,,,,,,,
33123,NB,1 AVENUE,East 13 Street,14 Street/canarsie Line,21103.16667,17328.66667,-0.178859413,771414.0,matched,27P2,1 ave between e 13th st and e 14th st,NB,1.0,81.5,,already_matched
33128,SB,2 AVENUE,14 Street/canarsie Line,East 15 Street,24946.33333,20519.0,-0.177474312,771415.0,matched,28P2,2 ave between e 14th st and e 15th st,SB,7.6,81.5,,already_matched
