SegmentId,street,fromSt,toSt,Direction,2024,2025,perc_change,abs_perc_change
34537,WEST 79 STREET,Henry Hudson Pkwy Nb Et 10 A,Henry Hudson Parkway Et 10 Nb,EB,20080.5,77493.5,2.859141954,2.859141954
34537,WEST 79 STREET,Henry Hudson Pkwy Nb Et 10 A,Henry Hudson Parkway Et 10 Nb,SB,20080.5,77493.5,2.859141954,2.859141954
158990,11 AVENUE,Bike Path,Bike Path,SB,24971.83333,38675.5,0.548764942,0.548764942
142905,12 AVENUE,West 24 Street,Bike Path,SB,21551.33333,31906.16667,0.480472979,0.480472979
142883,12 AVENUE,West 41 Street,West 42 Street,SB,26964.83333,37593.5,0.394167712,0.394167712
159241,12 AVENUE,West 24 Street,West 26 Street,NB,25932.16667,34932.66667,0.347078596,0.347078596
158825,WEST HOUSTON STREET,Wooster Street,West Broadway,EB,9138.5,11664.66667,0.276431216,0.276431216
9006468,ALLEN STREET,Dead End,East Houston Street,SB,4805,3543.333333,-0.262573708,0.262573708
159039,WEST HOUSTON STREET,Pedestrian Path,La Guardia Place,WB,14753.16667,18232.83333,0.235858968,0.235858968
152673,12 AVENUE,West 42 Street,West 43 Street,NB,34940.66667,43175.16667,0.235670947,0.235670947
143052,LONG ISLAND EXPWY ET 15 WB,Dead End,Borden Avenue,WB,20866.33333,25302.66667,0.21260723,0.21260723
143221,11 AVENUE,10 Avenue,West 15 Street,NB,23744.83333,28129.16667,0.184643677,0.184643677
16446,FERRY TERMINAL DRIVE,Dead End,Staten Island Railway Line,EB,3180.666667,3759.833333,0.182089709,0.182089709
33123,1 AVENUE,East 13 Street,14 Street/canarsie Line,NB,21103.16667,17328.66667,-0.178859413,0.178859413
33128,2 AVENUE,14 Street/canarsie Line,East 15 Street,SB,24946.33333,20519,-0.177474312,0.177474312
36524,FDR DRIVE EXIT 12 NORTHBOUND,Dead End,East 61 Street,NB,14923.33333,12484.83333,-0.163401832,0.163401832
9006474,ALLEN STREET,Dead End,East Houston Street,NB,11644.5,9774.166667,-0.160619463,0.160619463
66192,LIE WB ENTRANCE VAN DAM ST,Dead End,Van Dam Street,EB,1272.333333,1074.833333,-0.155226618,0.155226618
